# Sensor: Rotor
# Record count: 12001
# Storage mode: Memory
# Datetime of save: 2026-03-04T16:02:52
# Statistical parameters for each field (time series) are placed above the column of the respective time series.

# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 0 s

# Column
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	
Time [s]	Power (aero) [k W]	Torque (aero) [k Nm]	Thrust (aero) [k N]	RPM [rpm]	TSR []	Representative demanded pitch angle [°]	Power coef. (CP) [%]	Thrust coef. (CT) [%]	Torque coef. (CQ) [%]	Tip speed [m/s]	1P (one revolution) [s]	nP (blade passing) [s]	Azimuth angle [°]	Rotation per timestep [°]	Wind speed at hub, magnitude [m/s]	Wind speed at hub.x [m/s]	Wind speed at hub.y [m/s]	Wind speed at hub.z [m/s]	Turbulence at hub (local).x [m/s]	Turbulence at hub (local).y [m/s]	Turbulence at hub (local).z [m/s]	Wind angle at hub [°]	Yaw angle relative to forward [°]	Yaw angle to reference direction [°]	Yaw error [°]	Torque about yaw axis [Nm]
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
Min	0 [0s]	0 [0s]	809.825 [1.475s]	6.87549 [0s]	8.01754 [0s]	0 [0s]	0 [0s]	82.8625 [1.475s]	0 [0s]	64.1403 [0s]	8.72665 [0s]	2.90888 [0s]	0 [0s]	1.03132 [0s]	8 [0s]	0 [0s]	-8 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	-629055 [2.175s]
Max	3564.28 [293.825s]	4950.39 [293.825s]	814.665 [261.825s]	6.87549 [0s]	8.01754 [0s]	0 [0s]	45.5878 [293.825s]	83.3577 [261.825s]	5.686 [293.825s]	64.1403 [0s]	8.72665 [0s]	2.90888 [0s]	359.957 [270.55s]	1.03132 [0s]	8 [0s]	0 [0s]	-8 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	313871 [6.575s]
Mean	3547.64	4927.27	812.509	6.87549	8.01754	0	45.3749	83.1371	5.65946	64.1403	8.72665	2.90888	178.774	1.03132	8	0	-8	0	0	0	0	0	0	0	0	-137879
Standard deviation	34.4157	47.7995	1.54325	nan	2.22651e-06	0	0.440183	0.157908	0.0549024	1.78121e-05	6.31061e-06	nan	104.109	nan	0	0	0	0	0	0	0	0	0	0	0	256573
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
0	0	0	811.624	6.87549	8.01754	0	0	83.0465	0	64.1403	8.72665	2.90888	0	1.03132	8	0	-8	0	0	0	0	0	0	0	0	0
0.025	3562.03	4947.27	814.135	6.87549	8.01754	0	45.559	83.3034	5.68242	64.1403	8.72665	2.90888	0	1.03132	8	0	-8	0	0	0	0	0	0	0	0	-147619
0.05	3562.05	4947.29	814.14	6.87549	8.01754	0	45.5592	83.304	5.68245	64.1403	8.72665	2.90888	1.03132	1.03132	8	0	-8	0	0	0	0	0	0	0	0	-128030
0.075	3562	4947.22	814.134	6.87549	8.01754	0	45.5586	83.3033	5.68237	64.1403	8.72665	2.90888	2.06265	1.03132	8	0	-8	0	0	0	0	0	0	0	0	-108893
