# Sensor: Rotor
# Record count: 12001
# Storage mode: Memory
# Datetime of save: 2026-03-04T14:57:25
# Statistical parameters for each field (time series) are placed above the column of the respective time series.

# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 0 s

# Column
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	
Time [s]	Power (aero) [k W]	Torque (aero) [k Nm]	Thrust (aero) [k N]	RPM [rpm]	TSR []	Representative demanded pitch angle [°]	Power coef. (CP) [%]	Thrust coef. (CT) [%]	Torque coef. (CQ) [%]	Tip speed [m/s]	1P (one revolution) [s]	nP (blade passing) [s]	Azimuth angle [°]	Rotation per timestep [°]	Wind speed at hub, magnitude [m/s]	Wind speed at hub.x [m/s]	Wind speed at hub.y [m/s]	Wind speed at hub.z [m/s]	Turbulence at hub (local).x [m/s]	Turbulence at hub (local).y [m/s]	Turbulence at hub (local).z [m/s]	Wind angle at hub [°]	Yaw angle relative to forward [°]	Yaw angle to reference direction [°]	Yaw error [°]	Torque about yaw axis [Nm]
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
Min	-359.44 [0.025s]	-499.223 [0.025s]	95.4885 [0.025s]	6.87549 [0s]	0 [0s]	0 [0s]	-5.58249 [0.025s]	11.1207 [0.025s]	-0.652648 [0.025s]	64.1403 [0s]	8.72665 [0s]	2.90888 [0s]	0 [0s]	1.03132 [0s]	0 [0s]	-1.45438 [230.05s]	-9.50167 [37.8s]	-1.35216 [34.8s]	0 [0s]	0 [0s]	0 [0s]	-13.767 [106.225s]	0 [0s]	0 [0s]	0 [0s]	-4.55976e+06 [271.4s]
Max	7477.9 [0.8s]	10386 [0.8s]	1054.2 [0.825s]	6.87549 [0s]	10.5818 [183.825s]	0 [0s]	116.14 [0.8s]	122.774 [0.825s]	13.5779 [0.8s]	64.1403 [0s]	8.72665 [0s]	2.90888 [0s]	359.957 [270.55s]	1.03132 [0s]	9.55916 [37.8s]	1.89356 [106.225s]	0 [0s]	1.33612 [265.85s]	0 [0s]	0 [0s]	0 [0s]	10.391 [230.05s]	0 [0s]	0 [0s]	0 [0s]	4.5081e+06 [150.5s]
Mean	3654.81	5076.12	812.149	6.87549	8.42079	0	56.7631	94.5843	6.63615	64.1403	8.72665	2.90888	178.774	1.03132	7.66183	0.0717633	-7.63601	-0.0420539	0	0	0	-0.561322	0	0	0	65185.7
Standard deviation	753.322	1046.28	66.6839	nan	0.659868	0	11.6999	7.76612	1.36783	1.78121e-05	6.31061e-06	nan	104.109	nan	0.601187	0.493344	0.600912	0.380837	0	0	0	3.70639	0	0	0	1.36289e+06
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
0	0	0	937.499	6.87549	0	0	0	109.183	0	64.1403	8.72665	2.90888	0	1.03132	0	0	0	0	0	0	0	0	0	0	0	0
0.025	-359.44	-499.223	95.4885	6.87549	6.92093	0	-5.58249	11.1207	-0.652648	64.1403	8.72665	2.90888	0	1.03132	9.26759	0.509318	-9.25354	0.0291009	0	0	0	-3.1504	0	0	0	0.0598651
0.05	4718.71	6553.77	685.788	6.87549	6.91231	0	73.2867	79.8681	8.56792	64.1403	8.72665	2.90888	1.03132	1.03132	9.27914	0.518539	-9.26459	0.0312646	0	0	0	-3.2035	0	0	0	-336777
0.075	5006.07	6952.88	721.026	6.87549	6.90371	0	77.7497	83.972	9.08969	64.1403	8.72665	2.90888	2.06265	1.03132	9.2907	0.52776	-9.27564	0.0334283	0	0	0	-3.25647	0	0	0	-402530
